5856.96	10942.20	732.12	729.48
6589.08	 0.00	732.12	729.48
6589.08	729.48	732.12	729.48
6589.08	1458.96	732.12	729.48
6589.08	2188.44	732.12	729.48
6589.08	2917.92	732.12	729.48
6589.08	3647.40	732.12	729.48
6589.08	4376.88	732.12	729.48
6589.08	5106.36	732.12	729.48
6589.08	5835.84	732.12	729.48
6589.08	6565.32	732.12	729.48
6589.08	7294.80	732.12	729.48
6589.08	8024.28	732.12	729.48
6589.08	8753.76	732.12	729.48
6589.08	9483.24	732.12	729.48
6589.08	10212.72	732.12	729.48
6589.08	10942.20	732.12	729.48
7321.20	 0.00	732.12	729.48
7321.20	729.48	732.12	729.48
7321.20	1458.96	732.12	729.48
7321.20	2188.44	732.12	729.48
7321.20	2917.92	732.12	729.48
7321.20	3647.40	732.12	729.48
7321.20	4376.88	732.12	729.48
7321.20	5106.36	732.12	729.48
7321.20	5835.84	732.12	729.48
7321.20	6565.32	732.12	729.48
7321.20	7294.80	732.12	729.48
7321.20	8024.28	732.12	729.48
7321.20	8753.76	732.12	729.48
7321.20	9483.24	732.12	729.48
7321.20	10212.72	732.12	729.48
7321.20	10942.20	732.12	729.48
8053.32	 0.00	732.12	729.48
8053.32	729.48	732.12	729.48
8053.32	1458.96	732.12	729.48
8053.32	2188.44	732.12	729.48
8053.32	2917.92	732.12	729.48
8053.32	3647.40	732.12	729.48
8053.32	4376.88	732.12	729.48
8053.32	5106.36	732.12	729.48
8053.32	5835.84	732.12	729.48
8053.32	6565.32	732.12	729.48
8053.32	7294.80	732.12	729.48
8053.32	8024.28	732.12	729.48
8053.32	8753.76	732.12	729.48
8053.32	9483.24	732.12	729.48
8053.32	10212.72	732.12	729.48
8053.32	10942.20	732.12	729.48
8785.44	 0.00	732.12	729.48
8785.44	729.48	732.12	729.48
8785.44	1458.96	732.12	729.48
8785.44	2188.44	732.12	729.48
8785.44	2917.92	732.12	729.48
8785.44	3647.40	732.12	729.48
8785.44	4376.88	732.12	729.48
8785.44	5106.36	732.12	729.48
8785.44	5835.84	732.12	729.48
8785.44	6565.32	732.12	729.48
8785.44	7294.80	732.12	729.48
8785.44	8024.28	732.12	729.48
8785.44	8753.76	732.12	729.48
8785.44	9483.24	732.12	729.48
8785.44	10212.72	732.12	729.48
8785.44	10942.20	732.12	729.48
9517.56	 0.00	732.12	729.48
9517.56	729.48	732.12	729.48
9517.56	1458.96	732.12	729.48
9517.56	2188.44	732.12	729.48
9517.56	2917.92	732.12	729.48
9517.56	3647.40	732.12	729.48
9517.56	4376.88	732.12	729.48
9517.56	5106.36	732.12	729.48
9517.56	5835.84	732.12	729.48
9517.56	6565.32	732.12	729.48
9517.56	7294.80	732.12	729.48
9517.56	8024.28	732.12	729.48
9517.56	8753.76	732.12	729.48
9517.56	9483.24	732.12	729.48
9517.56	10212.72	732.12	729.48
9517.56	10942.20	732.12	729.48
10249.68	 0.00	732.12	729.48
10249.68	729.48	732.12	729.48
10249.68	1458.96	732.12	729.48
10249.68	2188.44	732.12	729.48
10249.68	2917.92	732.12	729.48
10249.68	3647.40	732.12	729.48
10249.68	4376.88	732.12	729.48
10249.68	5106.36	732.12	729.48
10249.68	5835.84	732.12	729.48
10249.68	6565.32	732.12	729.48
10249.68	7294.80	732.12	729.48
10249.68	8024.28	732.12	729.48
10249.68	8753.76	732.12	729.48
10249.68	9483.24	732.12	729.48
10249.68	10212.72	732.12	729.48
10249.68	10942.20	732.12	729.48
